2006,300,7.7,King Leonidas and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,7020
2011,Conan the Barbarian,5.1,An vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,6780
2013,Scenic Route,6.3,Tensions rise between lifelong friends Mitchell and Carter after their truck breaks down on an isolated desert road as they start to attack each other's life decisions with unwavering brutality.,
2013,Oz the Great and Powerful,6.5,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.,7800
2013,Movie 43,4.4,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,5640
2013,G.I. Joe: Retaliation,5.8,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,6600
2001,The Lord of the Rings: The Fellowship of the Ring,8.8,A meek hobbit of The Shire and eight companions set out on a journey to Mount Doom to destroy the One Ring and the dark lord Sauron.,10680
2013,Red 2,7,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,6960
2012,21 Jump Street,7.1,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,6540
2013,Turbo,6.3,A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.,5760
2011,Moneyball,7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,7980
2006,The Prestige,8.4,The rivalry between two magicians becomes more exacerbated by their attempt to perform the ultimate illusion.,7800
2013,Zero Charisma,6.2,An overgrown nerd who serves as Grand Master of a fantasy board game finds his role as leader of the misfits put into jeopardy when a new initiate enters the group.,5160
2013,Adore,6.1,A pair of childhood friends and neighbors fall for each other's sons.,6000
2000,Requiem for a Dream,8.4,The drug-induced utopias of four Coney Island individuals are shattered when their addictions become stronger.,6120
2013,Monsters University,7.6,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,6240
2013,Parkland,5.6,A recounting of the chaotic events that occurred at Dallas' Parkland Hospital on the day U.S. President John F. Kennedy was assassinated.,5580
2013,Trance,6.9,An art auctioneer who has become mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.,6060
2008,Twilight,5.2,A teenage girl risks everything when she falls in love with a vampire.,7320
2013,42,7.5,The life story of Jackie Robinson and his history-making signing with the Brooklyn Dodgers under the guidance of team executive Branch Rickey.,7680
2014,Neighbors,,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,
1991,The Silence of the Lambs,8.7,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.,7080
2013,Generation Iron,6.7,A documentary that follows top bodybuilders as they train to compete in the Mr. Olympia competition.,6360
1990,Goodfellas,8.8,Henry Hill and his friends work their way up through the mob hierarchy.,8760
2000,Remember the Titans,7.6,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,6780
2013,The Big Wedding,5.3,A long-divorced couple fakes being married as their family unites for a wedding.,5340
1999,The Matrix,8.7,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,8160
2012,Jack Reacher,6.9,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,7800
2009,Avatar,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,9720
2013,Mama,6.3,Annabel and Lucas are faced with the challenge of raising his young nieces that were left alone in the forest for 5 years.... but how alone were they?,6000
2007,Superbad,7.6,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,6780
2012,Much Ado About Nothing,7.4,A modern retelling of Shakespeare's classic comedy about two pairs of lovers with different takes on romance and a way with words.,6540
2013,Last Vegas,,Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.,
2011,Drive Angry,5.5,A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter.,6240
2009,The Lovely Bones,6.6,Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.,8100
2011,Horrible Bosses,6.9,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,5880
1989,The Little Mermaid,7.5,A mermaid princess makes a Faustian bargain with an unscrupulous sea-witch in order to meet a human prince on land.,4980
2013,Before Midnight,8.3,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,6540
2012,Savages,6.5,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,7860
